NtsbNo,CompletionStatus,EventType,Mkey,IsStudy,EventDate,City,State,Country,ReportNo,N#,VehicleMake,VehicleModel,HighestInjuryLevel,InjuryOngroundCount,InjuryOnboardCount,HasSafetyRec,Mode,ReportNumber,ReportType,DocketPublishDate,OriginalPublishedDate,ReportDate,MostRecentReportType,EV_ID,RepGenFlag
WPR18FA210,Completed,Accident,97975,false,2018-08-02T18:05:00Z,Lopez Island,Washington,United States,,N56039,Mooney,M20J,Fatal,0,2,false,Aviation,,DirectorBrief,2020-03-04T20:26:00Z,2020-04-13T04:00:00Z,,Final,,
CEN18LA311,Completed,Accident,97990,false,2018-08-02T11:35:00Z,Watkins,Minnesota,United States,,N5523S,Cessna,188,None,0,0,false,Aviation,,DirectorBrief,2019-06-26T12:54:00Z,2019-11-06T05:00:00Z,,Final,,
CEN18LA306,Completed,Accident,97971,false,2018-08-02T10:20:00Z,Custer,South Dakota,United States,,N347BH,Bell,47G 3B,Minor,,1,false,Aviation,,DirectorBrief,2021-04-19T04:00:00Z,2021-05-27T04:00:00Z,,Final,,
ANC18WA061,N/A,Accident,97984,false,2018-08-01T20:36:00Z,Calgary,,Canada,,C-FNCI,Piper,PA-31,Fatal,0,2,false,Aviation,,None,,,,,,
GAA18CA475,Completed,Accident,98017,false,2018-08-01T19:00:00Z,Wilmington,North Carolina,United States,,N557AP,Beech,B300,None,0,0,false,Aviation,,DirectorBrief,2018-10-31T12:03:00Z,2019-03-18T04:00:00Z,,Final,,
DCA18WA258,N/A,Incident,98006,false,2018-08-01T17:12:00Z,Pardubice,,Czech Republic,,N624XA,Boeing,737,None,0,,false,Aviation,,None,,,,,,
CEN18WA372,N/A,Accident,98253,false,2018-08-01T13:48:00Z,"Naunton Beauchamp, Worcestershire",,United Kingdom,,G-OODX,Robinson,R22,None,0,0,false,Aviation,,None,,,,,,
ANC18WA062,N/A,Accident,97985,false,2018-08-01T13:45:00Z,Gold Bridge,,Canada,,C-FCDQ,Cessna,180,Fatal,0,3,false,Aviation,,None,,,,,,
WPR18LA216,Completed,Accident,98031,false,2018-08-01T13:15:00Z,Big Creek,Idaho,United States,,N57477,Champion,7GCBC,None,0,0,false,Aviation,,DirectorBrief,2019-02-12T13:06:00Z,2019-09-27T04:00:00Z,,Final,,
GAA18CA521,Completed,Accident,98203,false,2018-08-01T13:00:00Z,Fairbanks,Alaska,United States,,N437CC,Cub Crafters,CC18,None,0,0,false,Aviation,,DirectorBrief,2018-11-23T15:49:00Z,2019-03-18T04:00:00Z,,Final,,
CEN18WA343,N/A,Accident,98109,false,2018-08-01T10:56:00Z,Namiquipa,,Mexico,,XB-FMA,Piper,PA25,Fatal,0,1,false,Aviation,,None,,,,,,
ANC18LA059,Completed,Accident,97961,false,2018-08-01T00:00:00Z,White Mountain,Alaska,United States,,N185KB,Cessna,A185F,None,,0,false,Aviation,,DirectorBrief,2021-05-06T12:00:00Z,2021-05-27T04:00:00Z,,Final,,
DCA18RA253,N/A,Accident,97950,false,2018-07-31T21:40:00Z,Durango,,Mexico,,XA-GAL,Embraer,ERJ190,Serious,0,42,false,Aviation,,None,,,,,,
GAA18CA459,Completed,Accident,97959,false,2018-07-31T14:30:00Z,Bend,Oregon,United States,,N116PM,HERZOG AVIATION,CCX-2000,None,0,0,false,Aviation,,DirectorBrief,2019-03-22T18:53:00Z,2019-06-05T04:00:00Z,,Final,,
